reference_block,title_guess
"Costello, M. C. S.; Lee, L. S. Sources, Fate, and Plant Uptake in Agricultural Systems of Per- and Polyfluoroalkyl Substances. Curr. Pollut Rep 2024, 10, 799−819.",", 10, 799−819"
"Munoz, G.; Mercier, L.; Duy, S. V.; Liu, J.; Sauvé, S.; Houde, M. Bioaccumulation and Trophic Magnification of Emerging and Legacy Per- and Polyfluoroalkyl Substances (PFAS) in a St. Lawrence River Food Web. Environ. Pollut. 2022, 309, No. 119739.",", 309, No"
"Haukås, M.; Berger, U.; Hop, H.; Gulliksen, B.; Gabrielsen, G. W. Bioaccumulation of Per- and Polyfluorinated Alkyl Substances (PFAS) in Selected Species from the Barents Sea Food Web. Environ. Pollut. 2007, 148 (1), 360−371.",", 148 (1), 360−371"
"Drew, R.; Hagen, T. G.; Champness, D. Accumulation of PFAS by Livestock − Determination of Transfer Factors from Water to Serum for Cattle and Sheep in Australia. Food Additives & Contaminants: Part A 2021, 38 (11), 1897−1913.",", 38 (11), 1897−1913"
"Mikkonen, A. T.; Martin, J.; Upton, R. N.; Moenning, J.-L.; Numata, J.; Taylor, M. P.; Roberts, M. S.; Mackenzie, L. Dynamic Exposure and Body Burden Models for Per- and Polyfluoroalkyl Substances (PFAS) Enable Management of Food Safety Risks in Cattle. Environ. Int. 2023, 180, No. 108218.",", 180, No"
"Salierno, G. On the Chemical Pathways Influencing the Effective Global Warming Potential of Commercial Hydrofluoroolefin Gases. ChemSusChem 2024, 1−20.",", 1−20"
"Russell, M. H.; Hoogeweg, G.; Webster, E. M.; Ellis, D. A.; Waterland, R. L.; Hoke, R. A. TFA from HFO-1234yf: Accumulation and Aquatic Risk in Terminal Water Bodies. Environ. Toxicol. Chem. 2012, 31 (9), 1957−1965.",", 31 (9), 1957−1965"
"Arp, H. P. H.; Hale, S. E.; Borchers, U.; Valkov, V.; Wiegand, L.; Zahn, D.; Neuwald, I.; Nödler, K.; Scheurer, M. A Prioritization Framework for PMT/VPvM Substances under REACH for Registrants, Regulators, Researchers and the Water Sector, UBA TEXTE 22/2023. Neumann, M., Schliebner, I. Eds.; German Environment Agency (UBA): Dessau-Roßlau, Germany, pp 1−238. https://www. umweltbundesamt.de/publikationen/a-prioritization-framework-forpmtvpvm-substances (accessed 2024−06−03).","Eds.; German Environment Agency (UBA): Dessau-Roßlau, Germany, pp 1−238"
"Hale, S. E.; Neumann, M.; Schliebner, I.; Schulze, J.; Averbeck, F. S.; Castell-Exner, C.; Collard, M.; Drmač, D.; Hartmann, J.; Hofman-Caris, R.; Hollender, J.; de Jonge, M.; Kullick, T.; Lennquist, A.; Letzel, T.; Nödler, K.; Pawlowski, S.; Reineke, N.; Rorije, E.; Scheurer, M.; Sigmund, G.; Timmer, H.; Trier, X.; Verbruggen, E.; Arp, H. P. H. Getting in Control of Persistent, Mobile and Toxic (PMT) and Very Persistent and Very Mobile (VPvM) Substances to Protect Water Resources: Strategies from Diverse Perspectives. Environ. Sci. Eur. 2022, 34 (1), 22.",", 34 (1), 22"
"Zhou, J.; Saeidi, N.; Wick, L. Y.; Xie, Y.; Kopinke, F. D.; Georgi, A. Efficient Removal of Trifluoroacetic Acid from Water Using Surface-Modified Activated Carbon and Electro-Assisted Desorption. J. Hazard Mater. 2022, 436, No. 129051.",", 436, No"
"Zhang, Z.; Wu, Y.; Luo, L.; Li, G.; Li, Y.; Hu, H. Application of Disk Tube Reverse Osmosis in Wastewater Treatment: A Review. Science of The Total Environment 2021, 792, No. 148291.",", 792, No"
"Bartholomew, T. V.; Siefert, N. S.; Mauter, M. S. Cost Optimization of Osmotically Assisted Reverse Osmosis. Environ. Sci. Technol. 2018, 52 (20), 11813−11821.",", 52 (20), 11813−11821"
"Kim, J.; Park, K.; Yang, D. R.; Hong, S. A Comprehensive Review of Energy Consumption of Seawater Reverse Osmosis Desalination Plants. Appl. Energy 2019, 254, No. 113652.",", 254, No"
"Elimelech, M.; Phillip, W. A. The Future of Seawater Desalination: Energy, Technology, and the Environment. Science",
"2011, 333 (6043), 712−717.",", 333 (6043), 712−717"
European Parliament and the Council. Directive 2000/60/EC of the European Parliament and of the Council of 23 October 2000 Establishing a Framework for Community Action in the Field of Water Policy; 2000; pp 1−73. https://eur-lex.europa.eu/eli/dir/2000/60/oj (accessed 2024−08−20). Perspective,/60/EC of the European Parliament and of the Council of 23 October 2000 Establishing a Framework for Community Action in the Field of Water Policy; 2000; pp 1−73
"Austin, C.; Purohit, A. L.; Thomsen, C.; Pinkard, B. R.; Strathmann, T. J.; Novosselov, I. V. Hydrothermal Destruction and Defluorination of Trifluoroacetic Acid (TFA). Environ. Sci. Technol. 2024, 58 (18), 8076−8085.",", 58 (18), 8076−8085"
ATMOsphere. The Rising Threat of HFOs and TFA to Health and the Environment.; 2022. https://issuu.com/shecco/docs/2022_ atmo_hfo_tfa_report (accessed 2023−12−06).,https://issuu.com/shecco/docs/2022_ atmo_hfo_tfa_report (accessed 2023−12−06)
"Molina, M. J.; Rowland, F. S. Stratospheric Sink for Chlorofluoromethanes: Chlorine Atom-Catalysed Destruction of Ozone. Nature 1974, 249 (5460), 810−812.",", 249 (5460), 810−812"
"Farman, J. C.; Gardiner, B. G.; Shanklin, J. D. Large Losses of Total Ozone in Antarctica Reveal Seasonal ClOx/NOx Interaction. Nature 1985, 315 (6016), 207−210.",", 315 (6016), 207−210"
"Allen, M. Planetary Boundaries: Tangible Targets Are Critical. Nat. Clim Chang 2009, 1 (910), 114−115.",", 1 (910), 114−115"
"Ozone Secretariat. Handbook for the Montreal Protocol on Substances That Deplete the Ozone Layer, 14th ed.; 2020; pp 1−960. https://ozone.unep.org/sites/default/files/Handbooks/MPHandbook-2020-English.pdf (accessed 2024−10−13).",pp 1−960
"Falkner, R. The Business of Ozone Layer Protection: Corporate Power in Regime Evolution. In The Business of Global Environmental Governance. Global environmental accord: strategies for sustainability and institutional innovation; Levy, D. L., Newell, P. J., Eds.; MIT Press: Cambridge, MA, 2005; pp 105−134.",pp 105−134
"Regulation (EU) No 517/2014 of the European Parliament and of the Council of 16 April 2014 on Fluorinated Greenhouse Gases and Repealing Regulation (EC) No 842/2006; European Parliament, Council of the European Union, 2014; pp 195−230. https://eurlex.europa.eu/legal-content/en/ALL/?uri=CELEX:32014R0517 (accessed 2023−12−06).","of the European Parliament and of the Council of 16 April 2014 on Fluorinated Greenhouse Gases and Repealing Regulation (EC) No 842/2006; European Parliament, Council of the European Union, 2014; pp 195−230"
"Behringer, D.; Heydel, F.; Gschrey, B.; Osterheld, S.; Schwarz, W.; Warncke, K.; Freeling, F.; Nödler, K.; Wasser, T.; Henne, S.; Reimann Empa, S.; Blepp, M.; Jörß, W.; Liu, R.; Ludig, S.; Rüdenauer, I.; Gartiser, S. Persistent Degradation Products of Halogenated Refrigerants and Blowing Agents in the Environment: Type, Environmental Concentrations, and Fate with Particular Regard to New Halogenated Substitutes with Low Global Warming Potential; UBA TEXTE 73/2021, 2021; pp 1−259. https://www.umweltbundesamt. de/sites/default/files/medien/5750/publikationen/2021-05-06_ texte_73-2021_persistent_degradation_products.pdf (accessed 2023−12−06).",de/sites/default/files/medien/5750/publikationen/2021-05-06_ texte_73-2021_persistent_degradation_products.pdf (accessed 2023−12−06)
"Holland, R.; Khan, M. A. H.; Driscoll, I.; Chhantyal-Pun, R.; Derwent, R. G.; Taatjes, C. A.; Orr-Ewing, A. J.; Percival, C. J.; Shallcross, D. E. Investigation of the Production of Trifluoroacetic Acid from Two Halocarbons, HFC-134a and HFO-1234yf and Its Fates Using a Global Three-Dimensional Chemical Transport Model. ACS Earth Space Chem. 2021, 5 (4), 849−857.",", 5 (4), 849−857"
"Xie, G.; Cui, J.; Zhai, Z.; Zhang, J. Distribution Characteristics of Trifluoroacetic Acid in the Environments Surrounding Fluorochemical Production Plants in Jinan, China. Environmental Science and Pollution Research 2020, 27 (1), 983−991.",", 27 (1), 983−991"
"Horel, S.. Record Levels of “forever Chemicals” Found in One French Village’s Water. Le Monde. Paris February 7, 2024. https:// www.lemonde.fr/en/les-decodeurs/article/2024/02/07/recordlevels-of-forever-chemicals-found-in-one-french-village-s-watersupply_6502237_8.html (accessed 2024−05−31).",https:// www.lemonde.fr/en/les-decodeurs/article/2024/02/07/recordlevels-of-forever-chemicals-found-in-one-french-village-s-watersupply_6502237_8.html (accessed 2024−05−31)
"Générations Futures. PFAS Contamination Des Eaux Par Des “Polluants É ternels” à Salindres, 2024. https://www.generationsfutures.fr/wp-content/uploads/2024/02/rapport-salindres-pfas.pdf (accessed 2024−08−27).",https://www.generationsfutures.fr/wp-content/uploads/2024/02/rapport-salindres-pfas.pdf (accessed 2024−08−27)
"Ellis, D. A.; Mabury, S. A. The Aqueous Photolysis of TFM and Related Trifluoromethylphenols. An Alternate Source of Trifluoroacetic Acid in the Environment. Environ. Sci. Technol. 2000, 34 (4), 632−637.",", 34 (4), 632−637"
"EFSA. Peer Review of the Pesticide Risk Assessment of the Active Substance Flurtamone. EFSA Journal 2016, 14 (6), e04498 DOI: 10.2903/j.efsa.2016.4498.",", 14 (6), e04498 DOI: 10.2903/j.efsa.2016.4498"
"EFSA. Reasoned Opinion on the Setting of MRLs for Saflufenacil in Various Crops, Considering the Risk Related to the 19933 https://doi.org/",
"Joudan, S.; Gauthier, J.; Mabury, S. A.; Young, C. J. Aqueous Leaching of Ultrashort-Chain PFAS from (Fluoro)Polymers: Targeted and Nontargeted Analysis. Environ. Sci. Technol. Lett. 2024, 11 (3), 237−242.",", 11 (3), 237−242"
"Cui, J.; Guo, J.; Zhai, Z.; Zhang, J. The Contribution of Fluoropolymer Thermolysis to Trifluoroacetic Acid (TFA) in Environmental Media. Chemosphere 2019, 222, 637−644.",", 222, 637−644"
"Martin, J. W.; Franklin, J.; Hanson, M. L.; Solomon, K. R.; Mabury, S. A.; Ellis, D. A.; Scott, B. F.; Muir, D. C. G. Detection of Chlorodifluoroacetic Acid in Precipitation: A Possible Product of Fluorocarbon Degradation. Environ. Sci. Technol. 2000, 34 (2), 274− 281.",", 34 (2), 274− 281"
"Sun, M.; Cui, J.; Guo, J.; Zhai, Z.; Zuo, P.; Zhang, J. Fluorochemicals Biodegradation as a Potential Source of Trifluoroacetic Acid (TFA) to the Environment. Chemosphere 2020, 254, No. 126894.",", 254, No"
"Björnsdotter, M. K.; Yeung, L. W. Y.; Kärrman, A.; Jogsten, I. E. Ultra-Short-Chain Perfluoroalkyl Acids Including Trifluoromethane Sulfonic Acid in Water Connected to Known and Suspected Point Sources in Sweden. Environ. Sci. Technol. 2019, 53 (19), 11093− 11101.",", 53 (19), 11093− 11101"
"Wang, B.; Yao, Y.; Chen, H.; Chang, S.; Tian, Y.; Sun, H. Perand Polyfluoroalkyl Substances and the Contribution of Unknown Precursors and Short-Chain (C2−C3) Perfluoroalkyl Carboxylic Acids at Solid Waste Disposal Facilities. Sci. Total Environ. 2020, 705, No. 135832.",", 705, No"
"Tsou, K.; Antell, E.; Duan, Y.; Olivares, C. I.; Yi, S.; AlvarezCohen, L.; Sedlak, D. L. Improved Total Oxidizable Precursor Assay for Quantifying Polyfluorinated Compounds Amenable to Oxidative Conversion to Perfluoroalkyl Carboxylic Acids. ACS ES&T Water 2023, 3 (9), 2996−3003.",", 3 (9), 2996−3003"
"Adlunger, K.; Anke, J. M.; Bachem, G.; Banning, H.; BiegelEngler, A.; Blondzik, K.; Braun, U.; Eckhardt, A.; Gildemeister, D.; Hilliges, F.; Hoffmann, G.; Jentzsch, F.; Klitzke, S.; Kuckelkorn, J.; Martens, K.; Müller, A.; Pickl, C.; Pirntke, U.; Rechenberg, J.; Sättler, D.; Schmidt, U.; Speichert, G.; Warnke, I.; Wehner, J.; Wischer, R. Reducing the Input of Chemicals into Waters: Trifluoroacetate (TFA) as a Persistent and Mobile Substance with Many Sources; Dessau-Roßlau, Germany, 2022; pp 1−52. https://www.umweltbundesamt.de/en/ publikationen/reducing-the-input-of-chemicals-into-waters (accessed 2024−06−03).",pp 1−52
"Joudan, S.; De Silva, A. O.; Young, C. J. Insufficient Evidence for the Existence of Natural Trifluoroacetic Acid. Environ. Sci. Process Impacts 2021, 23 (11), 1641−1649.",", 23 (11), 1641−1649"
"Ellis, D. A.; Mabury, S. A.; Martin, J. W.; Muir, D. C. G. Thermolysis of Fluoropolymers as a Potential Source of Halogenated Organic Acids in the Environment. Nature 2001, 412 (6844), 321− 324.",", 412 (6844), 321− 324"
"Duchesne, A. L.; Brown, J. K.; Patch, D. J.; Major, D.; Weber, K. P.; Gerhard, J. I. Remediation of PFAS-Contaminated Soil and Granular Activated Carbon by Smoldering Combustion. Environ. Sci. Technol. 2020, 54 (19), 12631−12640.",", 54 (19), 12631−12640"
"Trang, B.; Li, Y.; Xue, X.-S.; Ateia, M.; Houk, K. N.; Dichtel, W. R. Low-Temperature Mineralization of Perfluorocarboxylic Acids. Science (1979) 2022, 377 (6608), 839−845.",") 2022, 377 (6608), 839−845"
"Nödler, K.; Scheurer, M. Substances from Multiple Sources (SMS): The Presence of Multiple Primary and Secondary Sources of Persistent and Mobile Organic Contaminants Is an Upcoming Challenge for the Drinking Water Sector and Regulatory Frameworks. Environ. Sci. Technol. 2019, 53 (19), 11061−11062.",", 53 (19), 11061−11062"
ECHA. Registry of CLH intentions until outcome - Trifluoroacetic acid. https://echa.europa.eu/de/registry-of-clh-intentions-untiloutcome/-/dislist/details/0b0236e188e6e587 (accessed 2024−05− 15).,−05− 15)
ECHA. Registry of CLH intentions until outcome - sodium trifluoroacetate and other inorganic salts of trifluoroacetic acid. https:// Perspective echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/ details/0b0236e188e8d4b8 (accessed 2024−08−12).,−08−12)
Umweltbundesamt (UBA). Ableitung Eines Gesundheitlichen Leitwertes Für Trifluoressigsäure (TFA); 2020; pp 1−6. https://www. umweltbundesamt.de/sites/default/files/medien/421/dokumente/ ableitung_eines_gesundheitlichen_leitwertes_fuer_ trifluoressigsaeure_fuer_uba-homepage.pdf (accessed 2023−12−20).,umweltbundesamt.de/sites/default/files/medien/421/dokumente/ ableitung_eines_gesundheitlichen_leitwertes_fuer_ trifluoressigsaeure_fuer_uba-homepage.pdf (accessed 2023−12−20)
RIVM. RIVM-VSP Advies 14434A02 − Drinkwaterrichtwaarde Voor Trifluorazijnzuur; 2023; pp 1−47. https://www.rivm.nl/ documenten/bijlage-bij-rivm-brief-aan-ilt-indicatievedrinkwaterrichtwaarde-trifluorazijnzuur-tfa (accessed 2024−08−30).,pp 1−47
CLP. Harmonised classification - Annex VI of Regulation (EC) No 1272/2008 (CLP Regulation) - Trifluoroacetic acid. https://echa. europa.eu/de/information-on-chemicals/cl-inventory-database/-/ discli/details/47316 (accessed 2023−12−19).,europa.eu/de/information-on-chemicals/cl-inventory-database/-/ discli/details/47316 (accessed 2023−12−19)
U.S. EPA. USEPA ECOTOX database. https://cfpub.epa.gov/ ecotox/ (accessed 2023−12−15).,−12−15)
"European Chemicals Bureau. Technical Guidance Document on Risk Assessment, Part II; Ispra, Italy, 2023; pp 1−337. https://echa. europa.eu/documents/10162/987906/tgdpart2_2ed_en.pdf/ 138b7b71-a069-428e-9036-62f4300b752f (accessed 2024−05−14).",europa.eu/documents/10162/987906/tgdpart2_2ed_en.pdf/ 138b7b71-a069-428e-9036-62f4300b752f (accessed 2024−05−14)
"Hanson, M. L.; Madronich, S.; Solomon, K.; Sulbaek Andersen, M. P.; Wallington, T. J. Trifluoroacetic Acid in the Environment: Consensus, Gaps, and Next Steps. Environ. Toxicol. Chem. 2024, 43 (10), 2091−2093.",", 43 (10), 2091−2093"
"Madronich, S.; Sulzberger, B.; Longstreth, J. D.; Schikowski, T.; Andersen, M. P. S.; Solomon, K. R.; Wilson, S. R. Changes in Tropospheric Air Quality Related to the Protection of Stratospheric Ozone in a Changing Climate. Photochemical & Photobiological Sciences 2023, 22 (5), 1129−1176.",", 22 (5), 1129−1176"
"Felizeter, S.; McLachlan, M. S.; De Voogt, P. Root Uptake and Translocation of Perfluorinated Alkyl Acids by Three Hydroponically Grown Crops. J. Agric. Food Chem. 2014, 62 (15), 3334−3342.",", 62 (15), 3334−3342"
"Felizeter, S.; McLachlan, M. S.; De Voogt, P. Uptake of Perfluorinated Alkyl Acids by Hydroponically Grown Lettuce (Lactuca Sativa). Environ. Sci. Technol. 2012, 46 (21), 11735−11743.",", 46 (21), 11735−11743"
